1,abbreviation,[?;bri:vi'ei??n],n.节略，缩写，缩短
2,abide,[?'baid],vi.遵守 vt.忍受
3,abnormal,[?b'n?:m?l],a.不正常的；变态的
4,abolish,[?'b?li?],vt.废除(法律等)
5,absent,['?bs?nt],a.不在意的
6,absorption,[?b's?:p??n],n.吸收；专注
7,abstract,['?bstr?kt],a.理论上的 n.抽象
8,abstract,['?bstr?kt],a.抽象的 n.摘要
9,absurd,[?b's?:d],a.不合理的，荒唐的
10,abundance,[?'b?nd?ns],n.丰富，充裕 （abound)
11,academic,[???k?'demik],a.学院的；学术的
12,academy,[?'k?d?mi],n.私立中学；专科院校
13,acceptance,[?k'sept?ns],n.接受，验收；承认
14,access,['?kses],n.接近；通道，入口
15,accessary,[?k'ses?ri],n.同谋，从犯
16,accessory,[?k'ses?ri],n.同谋 a.附属的
17,accidental,[???ksi'dentl],a.偶然的；非本质的
18,accommodate,[?'k?m?deit],vt.容纳；供应，供给
19,accommodation,[?;k?m?'dei??n],n.招待设备；预定铺位
20,accord,[?'k?:d],n.调和，符合，一致
21,accord,[?'k?:d],vt.使一致；给予
22,accordance,[?'k?:d?ns],n.一致；和谐；授予
23,accordingly,[?'k?:di?li],ad.因此，所以；照着
24,accumulate,[?'kju:mjuleit],vt.积累 vi.堆积
25,accuracy,['?kjur?si],n.准确(性)；准确度
26,accurate,['?kjur?t],a.准确的，正确无误的
27,accuse,[?'kju:z],vt.指责；归咎于
28,accustom,[?'k?st?m],vt.使习惯
29,accustomed,[?'k?st?md],a.惯常的；习惯的
30,achieve,[?'t?i:v],vt.完成，实现；达到
31,achievement,[?'t?i:vm?nt],n.完成；成就，成绩
32,acid,['?sid],n.酸；酸的，酸性的
33,acknowledge,[?k'n?lid?],vt.承认；致谢，鸣谢
34,acquaint,[?'kweint],vt.使认识，使了解
35,acquaintance,[?'kweint?ns],n.认识；了解；熟人
36,acquire,[?'kwai?],vt.取得；获得；学到
37,action,['?k??n],n.作用；情节
38,acute,[?'kju:t],a.尖的，锐的；敏锐的
39,adapt,[?'d?pt],vt.使适应；改编
40,addition,[?'di??n],n.加，加法；附加物
41,additional,[?'di??n?l],a.附加的，追加的
42,adhere,[?d'hi?],vi.粘附；追随；坚持
43,adjacent,[?'d?eis?nt],a.毗连的；紧接着的
